Step,e11,e22,e12,s11,s22,s12
33,0.0046999998949468135,-0.004087031103029439,-0.00016428621374139354,0.1321503940863083,-1.0476106273266877e-10,-7.605375339778149e-12
34,0.004599999897181987,-0.004048301338548199,-0.00016222680461380756,0.11647368381266117,-1.0476122426057132e-10,-7.60542605258217e-12
35,0.004499999899417162,-0.004009571574066959,-0.00016016739548622072,0.10079697353901423,-1.0476117948149939e-10,-7.605397363139679e-12
36,0.004399999901652336,-0.003970841809585717,-0.0001581079863586343,0.08512026326536759,-1.0476092388096249e-10,-7.60539899942408e-12
37,0.0042999999038875105,-0.003932112045104478,-0.00015604857723104746,0.06944355299172064,-1.0476114189459837e-10,-7.60536612098705e-12
38,0.004199999906122684,-0.003893382280623237,-0.00015398916810346061,0.05376684271807364,-1.0476103054917825e-10,-7.605336935553954e-12
39,0.0040999999083578586,-0.0038546525161419977,-0.00015192975897587507,0.03809013244442669,-1.0476123376022128e-10,-7.605410048336561e-12
40,0.003999999910593032,-0.0038159227516607564,-0.00014987034984828822,0.022413422170779695,-1.0476114478795652e-10,-7.60539519271155e-12
41,0.0038999999128282066,-0.0037771929871795165,-0.0001478109407207018,0.006736711897132867,-1.047611668056531e-10,-7.605394881002578e-12
42,0.003799999915063381,-0.0037384632226982756,-0.00014575153159311562,-0.00893999837651398,-1.047610929499425e-10,-7.605425914166186e-12
43,0.0036999999172985555,-0.003699733458217036,-0.00014369212246552856,-0.024616708650160843,-1.0476116445285441e-10,-7.605360286357519e-12
44,0.0035999999195337295,-0.0036610036937357953,-0.00014163271333794214,-0.04029341892380784,-1.0476114790900487e-10,-7.605368140713754e-12
45,0.0034999999217689036,-0.0036222739292545545,-0.00013957330421035573,-0.05597012919745472,-1.0476109555554829e-10,-7.605369864839067e-12
46,0.0033999999240040776,-0.003583544164773314,-0.00013751389508276889,-0.07164683947110163,-1.047610423737799e-10,-7.605370487710988e-12
47,0.0032999999262392516,-0.003544839742184701,-0.00013532785918109712,-0.08726729757602401,1.5057474827198086e-14,-1.58275907431033e-14
